x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
3,-0.5,2.96330,-3.20585,14.12307,-5.97837,3.18858
3,0,3.06727,-3.18852,14.12307,-5.97837,3.08460
3,0.5,3.18858,-3.18852,14.10574,-5.96105,2.96330
3,1,3.30988,-3.17119,14.00177,-5.89173,2.85932
3,1.5,3.43119,-3.15386,13.81115,-5.71844,2.75535
3,2,3.58715,-3.10188,13.56854,-5.54516,2.65137
3,2.5,3.72578,-3.04989,13.29128,-5.33721,2.56472
3,3,3.88175,-2.98057,12.96203,-5.07729,2.47808
3,3.5,4.05504,-2.91126,12.59813,-4.80003,2.39143
3,4,4.22833,-2.82461,12.19956,-4.50544,2.32212
3,4.5,4.40162,-2.72064,11.76634,-4.19353,2.25280
3,5,4.59224,-2.63400,11.33311,-3.88161,2.18348
3.5,-5,2.14882,-2.54735,11.26380,-3.88161,4.50560
3.5,-4.5,2.21814,-2.63400,11.73168,-4.22818,4.33231
3.5,-4,2.28746,-2.68598,12.16490,-4.59208,4.12435
3.5,-3.5,2.37410,-2.77263,12.59813,-4.90400,3.96839
3.5,-3,2.46075,-2.84194,12.97936,-5.21591,3.81243
3.5,-2.5,2.53007,-2.89393,13.32594,-5.49317,3.65647
3.5,-2,2.63404,-2.94592,13.62053,-5.71844,3.51783
3.5,-1.5,2.72069,-2.99790,13.86314,-5.92639,3.39653
3.5,-1,2.82466,-3.01523,14.07108,-6.08235,3.25789
3.5,-0.5,2.91131,-3.03256,14.17506,-6.18632,3.13659
3.5,0,3.03261,-3.04989,14.22704,-6.22097,3.03261
3.5,0.5,3.15392,-3.03256,14.17506,-6.18632,2.92864
3.5,1,3.27522,-3.01523,14.07108,-6.09967,2.82466
3.5,1.5,3.37920,-2.99790,13.88047,-5.92639,2.72069
3.5,2,3.53516,-2.96325,13.63786,-5.73577,2.61671
3.5,2.5,3.67379,-2.91126,13.32594,-5.47584,2.54740
3.5,3,3.81243,-2.84194,12.97936,-5.21591,2.46075
3.5,3.5,3.96839,-2.77263,12.59813,-4.92133,2.37410
3.5,4,4.14168,-2.70331,12.16490,-4.57476,2.28746
3.5,4.5,4.31498,-2.61667,11.73168,-4.24551,2.21814
3.5,5,4.50560,-2.53002,11.24647,-3.88161,2.14882
4,-5,2.11416,-2.42605,11.12517,-3.82963,4.40162
4,-4.5,2.18348,-2.51269,11.64503,-4.24551,4.22833
4,-4,2.25280,-2.58201,12.09559,-4.60941,4.05504
4,-3.5,2.33944,-2.66865,12.54614,-4.95599,3.88175
4,-3,2.40876,-2.72064,12.96203,-5.30256,3.74311
4,-2.5,2.49541,-2.78996,13.34327,-5.61447,3.58715
4,-2,2.58205,-2.80729,13.65519,-5.87440,3.46584
4,-1.5,2.66870,-2.84194,13.93245,-6.11700,3.32721
4,-1,2.77268,-2.87660,14.12307,-6.25563,3.20591
4,-0.5,2.87665,-2.87660,14.22704,-6.35960,3.08460
4,0,2.98063,-2.89393,14.27903,-6.39426,2.98063
4,0.5,3.08460,-2.89393,14.22704,-6.35960,2.85932
4,1,3.22324,-2.87660,14.10574,-6.25563,2.77268
4,1.5,3.34454,-2.85927,13.91512,-6.09967,2.66870
4,2,3.46584,-2.82461,13.67252,-5.89173,2.58205
4,2.5,3.60448,-2.77263,13.34327,-5.63180,2.49541
4,3,3.74311,-2.72064,12.96203,-5.30256,2.40876
4,3.5,3.89907,-2.65132,12.52881,-4.95599,2.33944
4,4,4.05504,-2.58201,12.09559,-4.60941,2.25280
4,4.5,4.22833,-2.51269,11.62771,-4.22818,2.18348
4,5,4.40162,-2.42605,11.12517,-3.82963,2.11416
4.5,-5,2.07951,-2.33940,10.98654,-3.76031,4.29765
4.5,-4.5,2.16615,-2.42605,11.48907,-4.15887,4.12435
4.5,-4,2.23547,-2.47804,11.97428,-4.57476,3.95106
4.5,-3.5,2.28746,-2.54735,12.44216,-4.93866,3.79510
4.5,-3,2.37410,-2.59934,12.89272,-5.31989,3.63914
4.5,-2.5,2.46075,-2.63400,13.29128,-5.66646,3.51783
